;ppi_1;ppi_2;ppi_3;ppi_6;ppi_12;ppi_24;ppi_49;ppi_98;ppi_195;ppi_391;ppi_781;ppi_1563;ppi_3125;ppi_6250;ppi_12500;ppi_25000;ppi_50000;ppi_100000;ppi_200000
2.750243240192516e-06;59.868999427033835;60.685234199237065;61.158713934441536;60.98041343845569;62.373784522617825;62.06837990696298;63.649967520627335;66.9966419744145;72.27834353397616;82.27699642553557;94.29920422086003;107.51718685349559;116.91601606674745;122.28058723423224;124.43588969683105;127.08192021244126;127.96610837534878;128.7540018869723;128.99016502498296
3.2081220501739327e-06;63.47889926253512;64.33440329705192;64.78443444258065;64.57320537453845;66.00058555840316;65.72332270766901;67.34122232947955;70.69324175081792;75.93677595548681;85.80420048086967;97.39305692868561;109.86001892561426;118.46352403062616;123.18371729737541;124.9280000741591;127.35061903150371;128.11209533336643;128.83619262037124;129.03900832619507
3.7422315737031818e-06;67.15324431273909;68.04776054075845;68.47298191155457;68.22545237800689;69.68183369505648;69.42223637045338;71.05527383784536;74.37475008524994;79.51948235110487;89.17440572662414;100.26388139662045;111.97397217608452;119.83031170632255;123.97045760823428;125.35330344859564;127.58185050584659;128.2374473882023;128.9066860852042;129.08087639989762
4.365263207633179e-06;70.8493895027175;71.78217810378155;72.18148768665924;71.89462626204633;73.37451938305385;73.1216935641805;74.74836816364291;77.99840053584755;82.98812677361231;92.36089780141539;102.90464993743112;113.86950536644709;121.03276300545654;124.65430155278027;125.72045093451298;127.78073052729162;128.34505629271104;128.9671427742761;129.11676578190875
5.092021297083769e-06;74.52366849244008;75.49354151138677;75.86614806316221;75.53740578718975;77.03509735633388;76.77824210366629;78.37773053900371;81.52408620871196;86.30934558846535;95.34385833569041;105.31440951699454;115.55968043414501;122.08700186506614;125.2475733939112;126.03708406529222;127.95170531308408;128.43741519718503;129.01898859190732;129.14753061767752
5.939774913140473e-06;78.13343932488034;79.13881602323146;79.48427580640941;79.11170439932161;80.62152125028824;80.35042346616768;81.90351141464576;84.9160599476122;89.45584131093459;98.11038478263701;107.49734645683586;117.05923280405528;123.00851517066867;125.76141902720025;126.3099225158372;128.09863127947395;128.51667179796766;129.06344768492662;129.17390273765096
6.9286681968472105e-06;81.63902944359555;82.67800699570611;82.99624209445395;82.57857695651576;84.0951317426392;83.80059774993553;85.29045319243768;88.1442351409717;92.4069786327056;100.65409193586713;109.46175527656766;118.38377986208413;123.81189614451151;126.20583629980582;126.54485305366757;128.22484755616085;128.5846748904155;129.10157076402876;129.19650953692246
8.082199019999555e-06;85.00539578024808;86.07582880568549;86.36712554451029;85.90382645698945;87.4222231493738;87.0964106081576;88.50913850282326;91.18500279812763;95.14889272334472;102.97440088142869;111.21900791795085;119.54917943968333;124.51068596345452;126.58973196009306;126.74701633310075;128.33324116582358;128.64301500577295;129.13425951025667;129.21588870880916
9.427777336574662e-06;88.20336144500604;89.30294374184759;89.56793199101662;89.05917975111119;90.57516444373167;90.21179363180441;91.53674398735816;94.02154744954832;97.67417341618223;105.075631759371;112.7825944540612;120.57103486138213;125.11729289387404;126.920995145709;126.92088930399332;128.42630514491438;128.69305978376087;129.16228758998164;129.2325011189506
1.099737649222547e-05;91.21035459022326;92.33669718628093;92.57631335667283;92.02296578274105;93.533016619002;93.12745701608341;94.35729102742101;96.64370443727742;99.98122365093897;106.96600985688701;114.16728060858794;121.46433326645644;125.64297000183001;127.2065797847656;127.07036193729947;128.5061900363128;128.73598469030514;129.18631873510031;129.24674179051442
